Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
9,8,2013,39,25,24,H,"MBe, AG"
9,8,2013,40,22,19,H,"MBe, AG"
9,8,2013,41,28,28,H,"MBe, AG"
9,8,2013,42,19,25,H,"MBe, AG"
9,8,2013,43,26,25,H,"MBe, AG"
9,8,2013,44,23,19,FG,"MBe, AG"
9,8,2013,45,23,20,H,"MBe, AG"
9,8,2013,46,23,25,H,"MBe, AG"
9,8,2013,47,19,19,FG,"MBe, AG"
9,8,2013,48,24,27,H,"MBe, AG"
9,8,2013,49,26,20,H,"MBe, AG"
9,8,2013,50,20,25,FG,"MBe, AG"
9,8,2013,51,26,36,H,"MBe, AG"
9,8,2013,52,32,37,FG,"MBe, AG"
9,8,2013,53,32,35,FG,"MBe, AG"
9,8,2013,54,32,29,H,"MBe, AG"
9,8,2013,55,23,26,H,"MBe, AG"
9,8,2013,56,21,25,FG,"MBe, AG"
9,8,2013,57,28,25,H,"MBe, AG"
9,8,2013,58,25,26,H,"MBe, AG"
9,8,2013,59,24,22,H,"MBe, AG"
9,8,2013,60,29,29,H,"MBe, AG"
9,8,2013,61,29,42,H,"MBe, AG"
9,8,2013,62,35,26,FG,"MBe, AG"
9,8,2013,63,27,22,FG,"MBe, AG"
9,8,2013,64,22,24,FG,"MBe, AG"
9,8,2013,65,41,43,FG,"MBe, AG"
9,8,2013,66,25,26,FG,"MBe, AG"
9,8,2013,67,22,23,FG,"MBe, AG"
9,8,2013,68,26,25,H,"MBe, AG"
9,8,2013,69,20,25,H,"MBe, AG"
9,8,2013,70,25,24,H,"MBe, AG"
9,8,2013,71,25,58,FG,"MBe, AG"
9,8,2013,72,46,41,FG,"MBe, AG"
9,8,2013,73,31,38,FG,"MBe, AG"
9,8,2013,74,32,21,H,"MBe, AG"
9,8,2013,75,25,34,H,"MBe, AG"
9,8,2013,76,25,24,FG,"MBe, AG"
9,8,2013,77,20,22,H,"MBe, AG"
9,8,2013,78,23,23,H,"MBe, AG"
9,8,2013,79,24,25,H,"MBe, AG"
9,8,2013,80,24,31,FG,"MBe, AG"
9,8,2013,81,28,54,H,"MBe, AG"
9,8,2013,82,34,24,FG,"MBe, AG"
9,8,2013,83,26,28,H,"MBe, AG"
9,8,2013,84,32,36,FG,"MBe, AG"
